date,start_time,visitor,visitor_pts,home,home_pts,link,ot,attendance,notes
2000-11-24,7:30 pm,Miami Heat,80,Cleveland Cavaliers,85,Box Score,,20562,
2000-11-24,9:00 pm,San Antonio Spurs,92,Denver Nuggets,102,Box Score,,13300,
2000-11-24,8:00 pm,Vancouver Grizzlies,96,Detroit Pistons,118,Box Score,,14709,
2000-11-24,8:00 pm,Washington Wizards,87,Indiana Pacers,99,Box Score,,18345,
2000-11-24,10:30 pm,Minnesota Timberwolves,108,Los Angeles Lakers,115,Box Score,,18997,
2000-11-24,8:30 pm,Charlotte Hornets,106,Milwaukee Bucks,90,Box Score,,15102,
2000-11-24,9:00 pm,Golden State Warriors,74,Phoenix Suns,80,Box Score,,18684,
2000-11-24,10:00 pm,Los Angeles Clippers,81,Seattle SuperSonics,98,Box Score,,13282,
2000-11-24,10:00 pm,New Jersey Nets,85,Utah Jazz,97,Box Score,,18915,
2000-11-25,7:30 pm,Cleveland Cavaliers,98,Charlotte Hornets,109,Box Score,,13791,
2000-11-25,8:00 pm,Denver Nuggets,84,Dallas Mavericks,108,Box Score,,16234,
2000-11-25,10:30 pm,Minnesota Timberwolves,93,Golden State Warriors,114,Box Score,,14268,
2000-11-25,10:30 pm,Phoenix Suns,95,Los Angeles Clippers,89,Box Score,OT,13510,
2000-11-25,7:30 pm,Houston Rockets,91,Miami Heat,80,Box Score,,15721,
2000-11-25,1:00 pm,Toronto Raptors,79,New York Knicks,75,Box Score,,19763,
2000-11-25,7:30 pm,Atlanta Hawks,92,Orlando Magic,114,Box Score,,13043,
2000-11-25,10:00 pm,New Jersey Nets,84,Portland Trail Blazers,86,Box Score,,20478,
2000-11-25,10:30 pm,Seattle SuperSonics,101,Sacramento Kings,125,Box Score,,17317,
2000-11-25,8:30 pm,Philadelphia 76ers,76,San Antonio Spurs,96,Box Score,,33046,
2000-11-25,8:00 pm,Milwaukee Bucks,100,Washington Wizards,107,Box Score,,13157,
2000-11-26,12:30 pm,Vancouver Grizzlies,98,Boston Celtics,87,Box Score,,11551,
2000-11-26,7:00 pm,Utah Jazz,94,Detroit Pistons,79,Box Score,,12943,
2000-11-26,3:00 pm,Chicago Bulls,89,Toronto Raptors,101,Box Score,,19800,
2000-11-27,10:30 pm,Los Angeles Lakers,98,Los Angeles Clippers,83,Box Score,,20039,
2000-11-27,7:30 pm,Vancouver Grizzlies,72,New York Knicks,97,Box Score,,19763,
2000-11-27,7:30 pm,Milwaukee Bucks,104,Orlando Magic,95,Box Score,,12841,
2000-11-28,8:30 pm,Minnesota Timberwolves,96,Chicago Bulls,76,Box Score,,22204,
2000-11-28,7:30 pm,Boston Celtics,87,Cleveland Cavaliers,72,Box Score,,14879,
2000-11-28,8:00 pm,Toronto Raptors,93,Dallas Mavericks,107,Box Score,,16016,
2000-11-28,8:30 pm,Sacramento Kings,88,Houston Rockets,81,Box Score,,11813,
2000-11-28,10:30 pm,Indiana Pacers,107,Los Angeles Lakers,124,Box Score,,18997,
2000-11-28,7:30 pm,Milwaukee Bucks,102,Miami Heat,101,Box Score,,14863,
2000-11-28,7:30 pm,Utah Jazz,98,New Jersey Nets,92,Box Score,,12204,
2000-11-28,10:00 pm,Seattle SuperSonics,105,Portland Trail Blazers,93,Box Score,,19980,
2000-11-28,7:00 pm,Atlanta Hawks,102,Washington Wizards,75,Box Score,,11583,
2000-11-29,7:30 pm,Toronto Raptors,79,Charlotte Hornets,103,Box Score,,12255,
2000-11-29,7:30 pm,New Jersey Nets,76,Detroit Pistons,97,Box Score,,11497,
2000-11-29,10:30 pm,Golden State Warriors,83,Los Angeles Clippers,106,Box Score,,10130,
2000-11-29,8:00 pm,Denver Nuggets,107,Minnesota Timberwolves,100,Box Score,,15227,
2000-11-29,8:00 pm,Miami Heat,84,New York Knicks,81,Box Score,,19763,
2000-11-29,7:30 pm,Utah Jazz,88,Orlando Magic,86,Box Score,,13645,
2000-11-29,7:00 pm,Washington Wizards,87,Philadelphia 76ers,93,Box Score,,16263,
2000-11-29,8:30 pm,Sacramento Kings,79,San Antonio Spurs,82,Box Score,,17341,
2000-11-29,10:00 pm,Phoenix Suns,106,Vancouver Grizzlies,109,Box Score,2OT,12314,
